crew_id,date,task_completion_rate,quality_score,feedback_text
C-027,2023-09-05,88.35490740099291,73,Shows strong initiative in problem-solving
C-027,2023-06-06,91.32720064342195,99,Could improve communication with team members
C-027,2023-08-03,85.83204167972622,75,Demonstrates excellent leadership qualities
C-028,2024-03-18,79.76448828340305,87,Required more training on equipment operation
C-028,2024-01-23,94.56466531992672,86,Demonstrates excellent leadership qualities
C-028,2023-02-04,79.1821019153755,90,Shows strong initiative in problem-solving
C-028,2023-01-11,94.16808872866352,99,Needs additional support with technical tasks
C-028,2023-12-02,82.20665193942028,80,Could improve communication with team members
C-028,2023-07-13,84.55969509967565,98,Could improve communication with team members
C-028,2023-03-22,99.26460769080248,86,Required more training on equipment operation
C-028,2023-11-14,81.15443713127095,75,Could improve communication with team members
C-028,2023-04-09,92.35939540305472,75,Shows strong initiative in problem-solving
C-029,2023-10-12,84.90622255815194,95,Demonstrates excellent leadership qualities
C-029,2023-12-16,88.01527966349258,89,Could improve communication with team members
C-029,2023-12-07,97.44004069331771,98,Could improve communication with team members
C-029,2023-07-09,91.01683529245298,78,Consistently follows safety procedures
C-029,2023-03-01,80.77258660597877,71,Required more training on equipment operation
C-029,2023-01-24,79.32472729258679,93,Consistently follows safety procedures
C-030,2023-07-19,87.64621987974051,72,Consistently follows safety procedures
C-030,2023-12-07,89.33182768705952,92,Consistently follows safety procedures
C-030,2023-04-18,98.31006489811313,86,Shows strong initiative in problem-solving
C-031,2023-02-01,92.29552167583189,92,Shows strong initiative in problem-solving
C-031,2023-03-25,92.96403767013184,80,Demonstrates excellent leadership qualities
C-031,2023-08-17,93.32892203766886,82,Required more training on equipment operation
C-031,2023-12-15,98.16689780072946,73,Required more training on equipment operation
C-032,2023-07-02,88.02051711926207,87,Could improve communication with team members
C-032,2024-03-26,84.97253380403806,73,Shows strong initiative in problem-solving
C-032,2023-07-30,86.98061887713982,87,Shows strong initiative in problem-solving
C-032,2023-05-18,81.42285750377297,75,Needs additional support with technical tasks
C-032,2023-12-09,78.22965449184788,95,Shows strong initiative in problem-solving
C-032,2024-01-25,98.85811485084415,86,Could improve communication with team members
C-032,2024-02-03,82.82813739153751,84,Needs additional support with technical tasks
C-032,2024-01-03,93.11591393492468,72,Needs additional support with technical tasks
C-032,2023-06-05,81.12930538362207,73,Needs additional support with technical tasks
C-032,2024-02-09,92.93506960189936,84,Shows strong initiative in problem-solving
C-033,2023-11-06,98.213420130612,98,Could improve communication with team members
C-033,2024-03-23,99.87059018207074,89,Needs additional support with technical tasks
C-033,2023-11-25,93.98278455860019,99,Shows strong initiative in problem-solving
C-033,2023-10-09,77.96482206157778,96,Demonstrates excellent leadership qualities
C-033,2023-09-04,83.27044475967861,93,Could improve communication with team members
C-033,2023-11-17,83.65572271199555,86,Could improve communication with team members
C-033,2024-02-06,79.24485605190856,79,Needs additional support with technical tasks
C-033,2023-06-10,91.03543885368045,94,Could improve communication with team members
C-034,2023-08-10,78.29633831452576,79,Could improve communication with team members
C-034,2023-11-04,94.74050521277903,99,Could improve communication with team members
C-034,2023-02-25,84.31080860182075,99,Needs additional support with technical tasks
C-034,2023-07-27,78.96112861516082,77,Consistently follows safety procedures
C-034,2023-10-25,91.64368784836941,95,Needs additional support with technical tasks
C-034,2023-11-18,92.15841562212186,70,Required more training on equipment operation
C-035,2023-12-18,79.7450246245452,72,Needs additional support with technical tasks
C-035,2023-09-07,94.26472037187342,82,Consistently follows safety procedures
C-035,2023-03-25,93.09975415285125,74,Needs additional support with technical tasks
C-035,2023-05-19,95.7552409777248,77,Needs additional support with technical tasks
C-035,2023-10-09,97.3358497047635,75,Shows strong initiative in problem-solving
C-035,2023-07-06,99.98522500817346,99,Needs additional support with technical tasks
C-035,2023-03-26,84.87940483179081,90,Required more training on equipment operation
C-035,2023-09-29,97.78911391426414,71,Could improve communication with team members
C-035,2023-11-13,83.20510791077787,73,Could improve communication with team members
C-036,2024-02-27,92.84609880430799,79,Shows strong initiative in problem-solving
C-036,2023-03-13,75.47779162371248,88,Required more training on equipment operation
C-036,2023-11-16,82.09515063559284,97,Required more training on equipment operation
C-036,2023-10-15,95.98963977126174,100,Needs additional support with technical tasks
C-036,2023-10-21,87.02081849111282,78,Demonstrates excellent leadership qualities
C-036,2023-05-06,80.23103256579586,70,Could improve communication with team members
C-036,2023-12-29,87.85152241455994,76,Shows strong initiative in problem-solving
C-036,2023-11-04,81.61592529539087,88,Demonstrates excellent leadership qualities
C-036,2023-11-04,91.67005422945189,85,Consistently follows safety procedures
C-037,2023-04-20,80.65896369429935,94,Shows strong initiative in problem-solving
C-037,2023-03-19,94.17643847793377,98,Shows strong initiative in problem-solving
C-037,2023-07-31,94.05423654676189,79,Consistently follows safety procedures
C-037,2023-01-14,77.88136371485699,72,Could improve communication with team members
C-037,2023-04-08,81.48779865324936,96,Required more training on equipment operation
C-037,2023-08-22,81.44463722155982,70,Required more training on equipment operation
C-038,2023-07-03,98.21716015165475,79,Consistently follows safety procedures
C-038,2024-03-06,97.5510517053062,91,Required more training on equipment operation
C-038,2023-05-17,97.12477861661552,86,Could improve communication with team members
C-038,2023-03-16,90.92802961909123,91,Needs additional support with technical tasks
C-038,2023-10-19,86.85053396612334,90,Shows strong initiative in problem-solving
C-038,2024-01-05,76.83123992817178,92,Shows strong initiative in problem-solving
C-038,2023-09-04,82.56862955042676,84,Demonstrates excellent leadership qualities
C-038,2023-08-22,89.1990326460272,95,Required more training on equipment operation
C-038,2024-02-22,92.67916394083865,81,Consistently follows safety procedures
C-039,2024-02-28,78.42854966511379,97,Could improve communication with team members
C-039,2023-02-03,81.63707879139324,88,Demonstrates excellent leadership qualities
C-039,2023-02-12,95.03548239195368,88,Consistently follows safety procedures
C-039,2023-09-08,75.58257367298025,75,Required more training on equipment operation
C-039,2023-08-29,89.2631605856552,85,Needs additional support with technical tasks
C-039,2023-05-04,87.94099356345558,87,Needs additional support with technical tasks
C-039,2024-03-23,78.18176738779026,96,Demonstrates excellent leadership qualities
C-040,2023-04-08,98.66707258130316,82,Required more training on equipment operation
C-040,2023-10-16,81.55108376340993,78,Consistently follows safety procedures
C-040,2023-09-11,86.82646373389744,83,Shows strong initiative in problem-solving
C-040,2024-01-05,77.76778318968057,83,Consistently follows safety procedures
C-041,2023-10-05,95.41659282603399,83,Required more training on equipment operation
C-041,2023-08-26,90.30475598048722,74,Needs additional support with technical tasks
C-041,2024-01-18,79.0592847745219,77,Needs additional support with technical tasks
C-041,2023-06-17,90.17797849443792,81,Required more training on equipment operation
C-041,2023-09-13,86.32877013050847,78,Shows strong initiative in problem-solving
C-041,2023-08-17,92.47923779503299,74,Demonstrates excellent leadership qualities
C-041,2024-03-06,76.85570248556503,90,Demonstrates excellent leadership qualities
C-041,2023-10-31,89.20107227629401,81,Demonstrates excellent leadership qualities
C-041,2023-01-05,78.42863679384341,76,Required more training on equipment operation
C-041,2023-05-08,94.6685252964545,99,Required more training on equipment operation
C-042,2023-12-28,85.85285785418982,92,Demonstrates excellent leadership qualities
C-042,2024-02-09,88.56611699929582,98,Required more training on equipment operation
C-042,2023-05-20,88.37596093495559,90,Needs additional support with technical tasks
C-043,2023-01-21,98.91278220339467,95,Could improve communication with team members
C-043,2023-06-03,84.72840242918903,71,Needs additional support with technical tasks
C-043,2023-04-20,82.18297537874841,90,Could improve communication with team members
C-043,2023-11-05,93.18041830138814,83,Required more training on equipment operation
C-043,2023-08-21,94.73203943850709,74,Demonstrates excellent leadership qualities
C-043,2023-05-10,89.56110434436596,80,Shows strong initiative in problem-solving
C-043,2023-03-13,99.98689577244255,100,Required more training on equipment operation
C-043,2023-03-20,93.52018240287636,90,Could improve communication with team members
C-044,2023-05-04,76.98278152970886,77,Demonstrates excellent leadership qualities
C-044,2023-10-26,77.95526620921956,86,Could improve communication with team members
C-044,2023-06-05,85.44871174486437,75,Required more training on equipment operation
C-044,2023-11-04,88.89662442557298,71,Consistently follows safety procedures
C-044,2023-10-08,91.63258991164219,83,Consistently follows safety procedures
C-044,2024-03-01,91.93381886746558,83,Consistently follows safety procedures
C-044,2023-02-15,93.98354908930266,78,Needs additional support with technical tasks
C-045,2023-10-30,81.04899572090139,86,Demonstrates excellent leadership qualities
C-045,2023-01-28,75.53467916781031,93,Demonstrates excellent leadership qualities
C-045,2023-08-13,83.78656026069937,99,Could improve communication with team members
C-045,2023-10-19,87.03193583986,82,Needs additional support with technical tasks
C-045,2023-01-07,89.92536622369798,81,Could improve communication with team members
C-045,2023-01-05,76.26565897784654,85,Needs additional support with technical tasks
C-045,2023-07-17,94.56531934720118,85,Required more training on equipment operation
C-045,2023-09-11,80.78135087441615,79,Consistently follows safety procedures
C-045,2024-03-18,87.21851435542271,97,Needs additional support with technical tasks
C-046,2023-01-28,95.60717569995033,78,Consistently follows safety procedures
C-046,2023-05-17,81.2832459674637,80,Demonstrates excellent leadership qualities
C-046,2024-02-26,79.30777437459942,91,Required more training on equipment operation
C-046,2023-09-06,81.10133461259183,86,Demonstrates excellent leadership qualities
C-047,2024-02-16,76.40780532375685,86,Shows strong initiative in problem-solving
C-047,2023-07-23,95.8269171428024,95,Consistently follows safety procedures
C-047,2024-02-16,97.66786544259452,78,Needs additional support with technical tasks
C-047,2023-01-29,99.21278931365632,74,Shows strong initiative in problem-solving
C-047,2023-04-22,99.77052096093658,88,Shows strong initiative in problem-solving
C-047,2023-11-30,78.58216458673387,79,Could improve communication with team members
C-047,2023-05-09,75.15481453823583,82,Could improve communication with team members
C-047,2023-04-01,77.8741569889947,97,Consistently follows safety procedures
C-047,2023-04-05,93.4840080755489,86,Required more training on equipment operation
C-048,2023-03-31,98.13510971241622,95,Demonstrates excellent leadership qualities
C-048,2023-12-11,96.23129490066412,76,Shows strong initiative in problem-solving
C-048,2024-02-11,84.44465242786971,98,Shows strong initiative in problem-solving
C-048,2023-01-22,96.6622890854951,78,Required more training on equipment operation
C-048,2023-04-21,89.94080421597623,93,Demonstrates excellent leadership qualities
C-048,2023-03-02,84.50007947806604,80,Needs additional support with technical tasks
C-049,2023-07-19,84.22876316403949,78,Demonstrates excellent leadership qualities
C-049,2023-04-12,85.44737707701265,86,Consistently follows safety procedures
C-049,2023-04-24,78.32543138499672,98,Could improve communication with team members
C-049,2023-08-19,76.39785475744871,79,Demonstrates excellent leadership qualities
C-049,2023-07-01,84.94821743620791,85,Demonstrates excellent leadership qualities
C-050,2023-03-03,77.9423146130459,93,Demonstrates excellent leadership qualities
C-050,2023-08-17,91.84387635927767,71,Demonstrates excellent leadership qualities
C-050,2024-01-07,78.54416480035627,77,Needs additional support with technical tasks
